,School name,Department,GRE requirements,Minimum Quantitative score (percentile),Minimum Verbal score (percentile),Minimum Analytical writing score (percentile),GRE Physics requirements,Minimum GRE Physics score (percentile)
22,Drexel University,Physics,"yes, required",150 ( 41% ),150 ( 44% ),3.5,no *,
23,East Carolina University,Physics,"yes, required *",147 ( 29% ),147 ( 32% ),3.5 ( 35% ),no,
24,Rensselaer Polytechnic Institute,"Physics, Applied Physics, Astronomy","yes, required *",146 ( 25% ),156 ( 70% ),4 ( 54% ),"yes, required *",600 ( 31% )
25,Illinois Institute of Technology,Physics,"yes, required *",( 25% ),( 70% ),2.5,no,
26,Vanderbilt University,Physics & Astronomy,"yes, required *",( 25% ),( 70% ),,"yes, recommended *",( 9% )
27,University of Denver,Physics,"yes, required *",( 25% ),,,no *,
28,Virginia Commonwealth University,Physics,"yes, required",150 ( 22% ),150 ( 24% ),3.5 ( 14% ),no,
29,University of California Merced,Physics,"yes, required *",( 22% ),,,"yes, required *",
30,Georgia State University,Physics & Astronomy,"yes, required *",( 18% ),( 21% ),,"yes, recommended *",
31,"Rutgers University, New Brunswick",Physics & Astronomy,"yes, required *",( 18% ),( 6% ),( 14% ),"yes, required *",( 31% )
32,Columbia University,Department of Applied Physics and Applied Mathematics,"yes, required",700,,,"yes, required *",680
33,University of Wisconsin,Medical Physics Program,"yes, required *",165,160,4,"yes, recommended *",743
34,University of Arizona,Optical Sciences,"yes, required *",160,155,4.5,no,
35,University of Central Florida,"CREOL, The College of Optics & Photonics","yes, required *",160,150,,no,
36,Texas Tech University,Physics,"yes, required",155,152,3,"yes, recommended",712
37,Clarkson University,Physics,"yes, required *",155,150,3,"yes, recommended *",
38,"University of California, Riverside",Physics & Astronomy,"yes, required *",155,,,"yes, required *",600 ( 31% )
39,University of Mississippi,Physics & Astronomy,"yes, required",155,,,"yes, recommended *",
40,Texas Christian University,Physics and Astronomy,"yes, required *",150,150,,no,
41,Utah State University,Physics,"yes, required *",150,149,3.5,"yes, recommended *",
42,University of Maine,Physics and Astronomy,"yes, required",150,145,3,"yes, required *",
43,"University of Texas, Arlington",Physics,"yes, required *",150,144,,no,
44,University of South Carolina,Physics & Astronomy,"yes, required *",144,146 ( 18% ),,no *,
45,Portland State University,Physics,"yes, required *",80,60,3.5,no,
46,"University of California, Berkeley",Physics,"yes, required *",,,,"yes, required *",730 ( 60% )
47,University of Notre Dame,Physics,"yes, required",,,,"yes, required",600 ( 31% )
48,University of Alabama at Birmingham,Physics,"yes, required *",,,,"yes, recommended *",
49,College of William and Mary,Physics,"yes, required *",,,,"yes, required *",
50,Northern Illinois University,Physics,"yes, required *",,,,"yes, recommended *",
51,University of Iowa,Physics & Astronomy,"yes, required",,,,"yes, recommended *",
52,Colorado State University,Physics,"yes, required",,,,no,
53,University of Vermont,Physics,"yes, required *",,,,no *,
54,George Mason University,Physical Sciences,"yes, required *",,,,"yes, recommended",
55,Rice University,Physics & Astronomy,"yes, required",,,,no,
56,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,"yes, required",,,,no,
57,Purdue Universty,Physics,"yes, required *",,,,"yes, required *",
58,Colorado School of Mines,Physics,"yes, required",,,,"yes, recommended",
59,"University of Colorado, Boulder",Physics,"yes, required *",,,,"yes, required *",
60,Princeton University,Physics,"yes, required",,,,"yes, required *",
61,University of Central Florida,Physics,"yes, required *",,,,"yes, recommended *",
62,Northwestern University,Physics & Astronomy,"yes, required",,,,"yes, required",( 54% )
63,University of Florida,Physics,"yes, required",,,,"yes, recommended *",( 21% )
64,Auburn University,Physics,"yes, required",,,,no,
65,Lehigh University,Physics,"yes, required",,,,"yes, recommended",
66,University of Utah,Physics,"yes, required *",,,,no *,
67,"University of California, Irvine",Physics,"yes, required *",,,,no *,
68,Baylor University,Physics,"yes, required *",,,,"yes, recommended",
69,Pennsylvania State University,Physics,"yes, required *",,,,"yes, recommended *",
70,Georgetown University,Physics,"yes, required",,,,"yes, required",
71,University of Arizona,Physics,"yes, required *",,,,"yes, required *",
72,University of Pennsylvania,Physics,"yes, required",,,,"yes, required *",
73,University of Houston,Physics,"yes, required *",,,,"yes, recommended *",
74,Columbia University,Physics,"yes, required",,,,"yes, required",
75,"University of Illinois, Chicago",Physics,"yes, required",,,,"yes, recommended",
