,School name,Department,Admission deadline  (domestic) Fall,Admission deadline  (domestic) Spring,Admission deadline  (international) Fall,Admission deadline  (international) Spring
143,North Dakota State University,Physics,03/01/2020 *,09/01/2020,03/01/2020,09/01/2020
144,Auburn University,Physics,03/15/2020,,01/15/2020,
145,Indiana University - Purdue University Indianapolis,Physics,03/15/2020 *,11/15/2019,03/03/2020,09/15/2019
146,Central Michigan University,Physics,03/15/2020 *,,03/15/2020,
147,Western Michigan University,Physics,03/15/2020 *,,03/15/2020,
148,Clarkson University,Physics,03/31/2020 *,11/15/2019,02/15/2020,10/15/2019
149,"University of Massachusetts, Dartmouth",Physics,03/31/2020,11/15/2020,03/31/2020,11/15/2020
150,San Jose State University,Physics,04/01/2020,,,
151,Montana Tech,Geosciences & Engineering,04/01/2020 *,10/01/2020,04/01/2020,09/01/2020
152,Texas Tech University,Physics,04/15/2020,11/15/2021,01/31/2020,09/15/2020
153,University of Delaware,Physics & Astronomy,04/15/2020 *,,04/15/2020,
154,Oakland University,Physics,04/15/2020,11/15/2020,04/15/2020,11/15/2020
155,"University of Colorado, Colorado Springs",Physics,04/30/2020 *,12/01/2019,04/30/2020,12/01/2019
156,"University of Nevada, Las Vegas",Physics,05/01/2020,10/01/2019,05/01/2020,10/01/2019
157,Virginia Commonwealth University,Physics,05/01/2020 *,12/01/2019,05/01/2020,12/01/2019
158,San Francisco State University,Physics & Astronomy,05/01/2020 *,11/01/2020,05/01/2020,11/01/2020
159,Eastern Michigan University,Physics and Astronomy,05/15/2020,,05/15/2020,
160,University of Houston,Physics,05/31/2020 *,,05/31/2020,
161,University of Alaska Fairbanks,Physics,06/01/2020 *,10/15/2019,03/01/2020,09/01/2019
162,"California State University, Long Beach",Physics & Astronomy,06/01/2020 *,11/01/2019,04/01/2020,10/01/2019
163,Wayne State University,Physics and Astronomy,06/01/2020 *,09/01/2020,05/01/2020,02/01/2020
164,"Texas State University, San Marcos",Physics,06/01/2020 *,10/15/2019,06/01/2020,10/01/2019
165,"University of Minnesota, Duluth",Physics,06/15/2020 *,,05/15/2020,
166,University of Central Florida,"CREOL, The College of Optics & Photonics",07/01/2020 *,12/01/2020,01/15/2020,07/01/2020
167,University of Central Florida,Physics,07/01/2020,12/01/2020,01/15/2020,07/01/2020
168,Appalachian State University,Physics and Astronomy,07/01/2020,11/01/2020,02/01/2020,07/01/2020
169,University of Alabama at Birmingham,Physics,07/01/2020,,04/01/2020,
170,Florida Atlantic University,Physics,07/01/2020,11/15/2019,04/01/2020,10/01/2019
171,Seton Hall University,Physics,07/01/2020 *,11/01/2020,07/01/2020,11/01/2020
172,"University of Tennessee, Knoxville",Physics & Astronomy,08/01/2020,12/01/2020,02/01/2020,06/15/2020
173,Southern Connecticut State University,Physics,08/01/2020,12/01/2019,04/01/2020,10/01/2019
174,Creighton University,Physics,08/01/2020,12/01/2019,05/01/2020,09/01/2019
175,Princeton University,Physics,12/15/2020,,12/15/2020,
